names,scores,logfoldchanges,pvals,pvals_adj
LDHC,34.88912,20.083378,1.0872133187283505e-266,3.718269550050959e-265
CLDN5,34.88912,20.601595,1.0872133187283505e-266,3.718269550050959e-265
CD8A,34.88912,21.252075,1.0872133187283505e-266,3.718269550050959e-265
SLC6A4,34.88912,20.11025,1.0872133187283505e-266,3.718269550050959e-265
CAMK4,34.88912,21.444557,1.0872133187283505e-266,3.718269550050959e-265
EPHA1,34.88912,20.09958,1.0872133187283505e-266,3.718269550050959e-265
GJB6,34.88912,20.402058,1.0872133187283505e-266,3.718269550050959e-265
CA1,34.88912,19.981203,1.0872133187283505e-266,3.718269550050959e-265
CXCL11,34.803185,1.4894699,2.177018601859929e-265,3.7227018091804787e-264
ABCB1,34.803185,-0.7435187,2.177018601859929e-265,3.7227018091804787e-264
MATR3,34.803185,1.742985,2.177018601859929e-265,3.7227018091804787e-264
IL10,34.803185,-0.55361265,2.177018601859929e-265,3.7227018091804787e-264
NME8,34.803185,-0.2243407,2.177018601859929e-265,3.7227018091804787e-264
WNT10A,34.803185,0.5398887,2.177018601859929e-265,3.7227018091804787e-264
F2RL1,34.803185,-0.18341894,2.177018601859929e-265,3.7227018091804787e-264
PRF1,34.803185,0.61254686,2.177018601859929e-265,3.7227018091804787e-264
SLC4A10,34.803185,-0.6719939,2.177018601859929e-265,3.7227018091804787e-264
TNFRSF10A,34.803185,0.11790549,2.177018601859929e-265,3.7227018091804787e-264
ESAM,34.71725,-0.8910424,4.3271809140900365e-264,5.6919072023799714e-263
XK,34.71725,-0.5877785,4.3271809140900365e-264,5.6919072023799714e-263
KIT,34.71725,-1.253549,4.3271809140900365e-264,5.6919072023799714e-263
FLT1,34.71725,-1.1869444,4.3271809140900365e-264,5.6919072023799714e-263
CCL5,34.71725,0.47999024,4.3271809140900365e-264,5.6919072023799714e-263
IDO1,34.71725,0.99799263,4.3271809140900365e-264,5.6919072023799714e-263
CASP8,34.631317,-0.5186814,8.53775161341345e-263,9.124722036835625e-262
HPGDS,34.631317,-1.1439139,8.53775161341345e-263,9.124722036835625e-262
IPCEF1,34.631317,-1.1248741,8.53775161341345e-263,9.124722036835625e-262
CX3CR1,34.631317,-1.6912546,8.53775161341345e-263,9.124722036835625e-262
NOG,34.631317,-1.9000202,8.53775161341345e-263,9.124722036835625e-262
ABCG2,34.631317,-1.7164934,8.53775161341345e-263,9.124722036835625e-262
EDN1,34.54538,-2.3384473,1.6721588890756227e-261,1.63393811446818e-260
MKI67,34.54538,-1.9250665,1.6721588890756227e-261,1.63393811446818e-260
TNF,34.459446,-1.266567,3.2509264513620195e-260,2.850812426579002e-259
CD40,34.459446,-1.3152992,3.2509264513620195e-260,2.850812426579002e-259
TNFSF10,34.459446,-1.8884159,3.2509264513620195e-260,2.850812426579002e-259
PLS1,34.459446,-2.6526008,3.2509264513620195e-260,2.850812426579002e-259
CYBB,34.373512,-1.5066935,6.273824069361868e-259,4.76810629271502e-258
EFNA5,34.373512,-2.6784623,6.273824069361868e-259,4.76810629271502e-258
IL18,34.373512,-2.4346159,6.273824069361868e-259,4.76810629271502e-258
CHRNA1,34.373512,-2.682791,6.273824069361868e-259,4.76810629271502e-258
GATA2,34.373512,-2.903492,6.273824069361868e-259,4.76810629271502e-258
IL4R,34.373512,-2.692689,6.273824069361868e-259,4.76810629271502e-258
SLA,34.28758,-3.9142451,1.2018579231480942e-257,8.563237702430172e-257
IL6,34.28758,-4.759702,1.2018579231480942e-257,8.563237702430172e-257
OXTR,34.201645,-3.4389238,2.2854385156754164e-256,1.5632399447219849e-255
ITPR3,34.201645,-2.5080526,2.2854385156754164e-256,1.5632399447219849e-255
ITGB3,34.11571,-3.7138646,4.314014330113981e-255,2.732209075738855e-254
CBS,34.11571,-3.9315119,4.314014330113981e-255,2.732209075738855e-254
AMIGO1,34.029778,-2.9032936,8.083310628956497e-254,4.849986377373898e-253
NELL2,34.029778,-3.398503,8.083310628956497e-254,4.849986377373898e-253
PDGFRB,34.029778,-5.8439035,8.083310628956497e-254,4.849986377373898e-253
STAMBPL1,33.943844,-3.539174,1.5034625368621367e-252,8.86524461391122e-252
OLR1,33.686043,-3.8965461,9.255006387466104e-249,5.27535364085568e-248
CDC6,33.60011,-4.1495285,1.6713324113896468e-247,8.79377976454245e-247
CACNA1A,33.42824,-4.7640657,5.3311666540884724e-245,2.7212820831317277e-244
CNR1,33.342308,-5.168977,9.416632008122251e-244,4.5358987982786057e-243
CASP6,33.342308,-4.4021864,9.416632008122251e-244,4.5358987982786057e-243
EPHA4,33.342308,-4.466549,9.416632008122251e-244,4.5358987982786057e-243
LAMA2,33.256374,-5.219503,1.6510670513688776e-242,7.528865754242082e-242
SPI1,33.256374,-2.8289168,1.6510670513688776e-242,7.528865754242082e-242
CCND1,33.17044,-5.720793,2.8736217949710926e-241,1.2931298077369917e-240
TGFB2,32.998573,-5.857082,8.514258356128713e-239,3.733174817687205e-238
CDKN2A,32.998573,-5.755281,8.514258356128713e-239,3.733174817687205e-238
ADARB1,32.91264,-4.052374,1.4494364262710062e-237,6.196340722308551e-237
FAS,32.91264,-3.3498278,1.4494364262710062e-237,6.196340722308551e-237
PLAU,32.826706,-6.6610603,2.449330358621064e-236,9.97227360295719e-236
TGFBR2,32.826706,-2.9559019,2.449330358621064e-236,9.97227360295719e-236
ADRB2,32.826706,-5.1109705,2.449330358621064e-236,9.97227360295719e-236
PRRT2,32.826706,-4.761297,2.449330358621064e-236,9.97227360295719e-236
TMEM216,32.740772,-4.198851,4.1085769130524594e-235,1.5788014654651023e-234
TSPAN13,32.740772,-5.825379,4.1085769130524594e-235,1.5788014654651023e-234
CCL2,32.740772,-4.3541045,4.1085769130524594e-235,1.5788014654651023e-234
RASGRP1,32.740772,-3.3376157,4.1085769130524594e-235,1.5788014654651023e-234
CTSC,32.65484,-4.9966435,6.841185316195851e-234,2.5996504201544236e-233
GNG2,32.568905,-4.1476016,1.130751523181356e-232,4.2034458796524324e-232
SPAG4,32.397038,-5.0068583,3.021527677372739e-230,1.087749963854186e-229
MAGEE1,32.311104,-5.9788504,4.884838134235451e-229,1.7402235853213795e-228
IL1B,32.22517,-6.1763225,7.839163718303895e-228,2.7639113316081773e-227
MYC,32.053303,-4.207186,1.9746802579271393e-225,6.753406482110817e-225
USP21,31.967367,-5.075793,3.099590416759963e-224,1.0495642797345618e-223
MYH10,31.7955,-5.450216,7.469773679156105e-222,2.4802549497780467e-221
ERBB2,31.709566,-5.678032,1.1468406713191082e-220,3.771341438376298e-220
LRRC61,31.193964,-5.788451,1.2864564239391504e-213,4.1118513737120505e-213
NPHP1,31.10803,-5.7225485,1.875700951144327e-212,5.939719678623703e-212
PRKCE,30.85023,-6.1469064,5.562197476262999e-209,1.7452032448458217e-208
CAMK2G,30.592428,-6.291592,1.5434603181791615e-205,4.798758443793393e-205
CENPJ,30.506495,-5.975852,2.1371634884600876e-204,6.525981366547768e-204
ACTN1,30.506495,-6.763517,2.1371634884600876e-204,6.525981366547768e-204
ABCA7,30.334625,-6.0265555,4.0078485296600174e-202,1.1816243078825224e-201
ORC6,30.334625,-5.8589845,4.0078485296600174e-202,1.1816243078825224e-201
TBP,30.334625,-5.620346,4.0078485296600174e-202,1.1816243078825224e-201
LCLAT1,30.248692,-6.530573,5.428034688015779e-201,1.5866562934199968e-200
PRKCQ,30.076824,-4.296064,9.738552666861849e-199,2.7988109345098757e-198
TAF4B,30.076824,-5.3311257,9.738552666861849e-199,2.7988109345098757e-198
PRKAR1B,29.819023,-6.592566,2.214345348769224e-195,6.310884243992289e-195
MKS1,29.647156,-5.510824,3.6903002582891084e-193,1.043043544078409e-192
PTK2B,29.561222,-5.4878583,4.711559255894286e-192,1.3207813651769229e-191
GPRASP1,28.787817,-6.722057,3.047463054091203e-182,8.337858915993532e-182
CEP135,28.701883,-4.4075203,3.6141639560968535e-181,9.80987359512003e-181
ITPR2,28.530016,-5.1535597,4.9720670637638866e-179,1.3389345951238183e-178
IGFBP2,28.186281,-12.797636,8.613054317900178e-175,2.301300450563954e-174
CLDN15,27.92848,-5.672693,1.2036211303755807e-171,3.1664494352957587e-171
DLAT,27.842546,-6.0524073,1.3259524240558671e-170,3.461646786466462e-170
GNB5,27.67068,-6.6392636,1.5739657085108374e-168,4.078002062959897e-168
MUTYH,27.584745,-6.135577,1.6959947501480574e-167,4.32858361604952e-167
IDE,27.326944,-6.675322,2.0299943298768937e-164,5.142652302354797e-164
SARM1,27.155075,-6.48367,2.205603672755434e-162,5.505959533447871e-162
CD14,27.069141,-5.9272575,2.2737337764284243e-161,5.634905445931313e-161
PTPRN2,26.983208,-7.289784,2.326746096866408e-160,5.724799749124544e-160
CXCR4,26.81134,-5.3550878,2.38319509806673e-158,5.821805168134441e-158
AP4S1,26.725407,-6.4252357,2.3853981316521275e-157,5.745113810035406e-157
RPL39L,26.639473,-7.309131,2.370060912098263e-156,5.668257565997244e-156
FXN,26.295738,-6.477778,2.145498260900614e-152,4.99156738250347e-152
ATP8A2,26.295738,-6.9828286,2.145498260900614e-152,4.99156738250347e-152
INPP4A,26.209805,-6.132915,2.0545372016115016e-151,4.715783375510963e-151
TP53,26.12387,-6.460656,1.9529781422472787e-150,4.4527901643237956e-150
FKTN,25.952003,-6.29739,1.7260637912550453e-148,3.909363023902156e-148
SP100,25.86607,-5.448916,1.604844616814951e-147,3.6109003878336404e-147
MFSD8,25.694202,-6.233495,1.3569950908352144e-145,3.033283144219891e-145
FANCF,25.350466,-6.114198,8.880587695260003e-142,1.9721824621941046e-141
ABAT,25.006731,-6.9802513,5.165004366941139e-138,1.1251156009515092e-137
ANGPT2,24.147394,-8.188027,7.952559402069863e-129,1.721376781967021e-128
CDK7,23.803658,-6.787216,3.0607865192045176e-125,6.583578550741792e-125
CXCL16,23.63179,-5.363845,1.8167156665742838e-123,3.883229737302532e-123
PLA2G6,23.37399,-7.6380095,7.860629546695492e-121,1.669773481347738e-120
IKBKB,23.202122,-6.182971,4.3340879192027217e-119,9.149741162761301e-119
TUBA4A,23.116188,-6.616067,3.1828493322862754e-118,6.637405314889672e-118
PTDSS1,23.116188,-7.207135,3.1828493322862754e-118,6.637405314889672e-118
TMEM67,22.94432,-6.432968,1.6789948554905383e-116,3.4591339793841214e-116
GPD1L,22.858387,-7.1519637,1.2060473940346103e-115,2.4698695135319563e-115
HLA-DRB1,22.600586,-6.105096,4.276647046908066e-113,8.60360758848564e-113
SYNJ1,22.170916,-6.611648,6.5561861346767965e-109,1.3036137546857351e-108
TMEM237,21.82718,-7.3797293,1.2807889170096247e-105,2.517412698949952e-105
CD68,21.82718,-6.1074324,1.2807889170096247e-105,2.517412698949952e-105
NEK1,21.655313,-7.3761973,5.416114085646901e-104,1.0524494416427501e-103
ARRB2,21.483446,-5.739041,2.223804825119767e-102,4.2727036527582036e-102
SRGAP3,21.397512,-7.7907066,1.4092911249415906e-101,2.692612093463821e-101
MTA2,21.139711,-7.7928267,3.431721103028133e-99,6.4842465040642065e-99
BRMS1L,20.795977,-7.385358,4.706814302639263e-96,8.796341483620918e-96
CASP9,20.62411,-6.6211004,1.6677681365527256e-94,3.09987338424474e-94
DMD,20.538174,-7.3407536,9.818393924503965e-94,1.8150760660434356e-93
FIG4,20.45224,-6.6480412,5.737802985165894e-93,1.0493735940784683e-92
TPM1,20.45224,-8.539771,5.737802985165894e-93,1.0493735940784683e-92
PLAUR,20.194439,-6.700784,1.0956307016308409e-90,1.9825698410462834e-90
MNAT1,20.022572,-7.78613,3.5017063738655676e-89,6.270071098754053e-89
SLC2A3,19.249168,-7.2330427,1.4344863088687958e-82,2.5288366888305575e-82
AP3M2,18.475763,-6.4409623,3.23615039026509e-76,5.618088494774927e-76
CASP3,18.475763,-7.2590437,3.23615039026509e-76,5.618088494774927e-76
PDE4D,18.046095,-7.3523974,8.466984697293313e-73,1.4551300334041775e-72
CHCHD10,17.788294,-6.5820017,8.709214796465507e-71,1.4818663982045787e-70
EFHC1,17.70236,-8.318773,4.021005378697449e-70,6.807840789675879e-70
GALC,17.44456,-7.514087,3.786340540373101e-68,6.347688552978435e-68
NELFA,17.44456,-7.7993827,3.786340540373101e-68,6.347688552978435e-68
GNPTAB,17.186756,-7.57227,3.336828207244564e-66,5.566806082329955e-66
HLA-DRA,16.843021,-8.210505,1.1805096969455095e-63,1.9410303670930975e-63
HTT,16.671154,-7.4967885,2.124520036162079e-62,3.476487331901584e-62
DLD,16.58522,-7.8103614,8.913796410054103e-62,1.451675415351668e-61
ATXN3,16.499287,-7.1100965,3.7125208791548206e-61,6.017450903653785e-61
RAB39B,16.32742,-8.398696,6.299335014744521e-60,1.0162134787936916e-59
ATF6,16.241486,-6.553027,2.566342117713907e-59,4.101350487187645e-59
LSR,16.155552,-8.182865,1.037860992113944e-58,1.6432799041804113e-58
TRIM37,16.155552,-8.244428,1.037860992113944e-58,1.6432799041804113e-58
