names,scores,logfoldchanges,pvals,pvals_adj
CA1,44.014206,18.97264,0.0,0.0
CXCL11,44.014206,22.099964,0.0,0.0
GJB6,44.014206,20.05038,0.0,0.0
XK,43.94607,0.0446663,0.0,0.0
EPHA1,43.94607,-0.93093926,0.0,0.0
KIT,43.94607,-1.1859168,0.0,0.0
CBS,43.94607,-1.3351083,0.0,0.0
MAGEE1,43.877937,-2.2562487,0.0,0.0
SLC6A4,43.877937,-1.4897214,0.0,0.0
LDHC,43.809807,-3.2257311,0.0,0.0
CD8A,43.809807,-0.089372575,0.0,0.0
MATR3,43.809807,0.8126426,0.0,0.0
SLC4A10,43.809807,-1.662775,0.0,0.0
NOG,43.809807,-1.1353407,0.0,0.0
ATP8A2,43.809807,-1.1406641,0.0,0.0
AMIGO1,43.741673,-2.2643843,0.0,0.0
WNT10A,43.741673,-1.5678666,0.0,0.0
PRKCQ,43.67354,-0.8094288,0.0,0.0
ABCB1,43.67354,-3.1966846,0.0,0.0
F2RL1,43.67354,-2.2714064,0.0,0.0
CLDN5,43.401005,-5.3992047,0.0,0.0
PRF1,43.33287,-4.65909,0.0,0.0
ABCG2,43.264736,-5.32116,0.0,0.0
PLS1,43.196606,-3.8890643,0.0,0.0
ITPR3,43.060337,-2.3336344,0.0,0.0
ESAM,42.855938,-6.2479324,0.0,0.0
EFNA5,42.787804,-4.1914334,0.0,0.0
PRRT2,42.787804,-4.5329766,0.0,0.0
IDO1,42.787804,-2.702832,0.0,0.0
GATA2,42.787804,-5.423942,0.0,0.0
CAMK4,42.447136,-3.132673,0.0,0.0
UGT8,42.447136,-6.523449,0.0,0.0
OXTR,42.379,-5.2525973,0.0,0.0
RASGRP1,42.242737,-3.7171257,0.0,0.0
USP21,42.174603,-4.0428143,0.0,0.0
NME8,42.174603,-5.103138,0.0,0.0
NELL2,42.038334,-4.687697,0.0,0.0
MAL,42.038334,-6.4629827,0.0,0.0
PDGFRB,41.7658,-6.9686174,0.0,0.0
EPHA4,41.69767,-6.646143,0.0,0.0
ERBB2,41.69767,-5.4196906,0.0,0.0
NPHP1,41.629536,-4.91864,0.0,0.0
LAMA2,41.425133,-5.920543,0.0,0.0
CDC6,41.425133,-5.691766,0.0,0.0
ANGPT2,41.425133,-6.517125,0.0,0.0
CNR1,41.357002,-6.6651807,0.0,0.0
LCLAT1,41.357002,-5.7354946,0.0,0.0
IPCEF1,41.288868,-4.2902384,0.0,0.0
SYP,41.288868,-5.4504123,0.0,0.0
TAF4B,41.220734,-3.8393633,0.0,0.0
KCND3,41.1526,-6.6189504,0.0,0.0
FANCF,41.08447,-5.6391153,0.0,0.0
GNB5,41.08447,-5.767435,0.0,0.0
CENPJ,41.08447,-4.3003726,0.0,0.0
EDN1,41.08447,-4.9449143,0.0,0.0
STAMBPL1,41.08447,-4.9444766,0.0,0.0
NEO1,41.016335,-6.6723323,0.0,0.0
GPRASP1,41.016335,-6.2973723,0.0,0.0
LRRC61,41.016335,-5.5919,0.0,0.0
SARM1,40.9482,-5.5269365,0.0,0.0
FKTN,40.9482,-5.5488915,0.0,0.0
TMEM67,40.9482,-4.861122,0.0,0.0
MKI67,40.811935,-8.09378,0.0,0.0
CHRNA1,40.811935,-6.409162,0.0,0.0
MYH10,40.7438,-6.318501,0.0,0.0
PLA2G6,40.7438,-6.840671,0.0,0.0
RAB39B,40.607533,-6.5412,0.0,0.0
PRKCE,40.471268,-6.1806126,0.0,0.0
CLDN15,40.335,-5.2561235,0.0,0.0
MKS1,40.335,-6.49388,0.0,0.0
ITGB3,40.266865,-6.5049906,0.0,0.0
BRMS1L,39.99433,-6.469352,0.0,0.0
TNFRSF10A,39.789932,-7.0607815,0.0,0.0
NTRK2,39.653664,-8.541421,0.0,0.0
TBP,39.449265,-5.9351263,0.0,0.0
LSR,39.38113,-6.4224544,0.0,0.0
ARHGEF10,39.313,-7.4693913,0.0,0.0
NQO1,39.313,-4.7392325,0.0,0.0
GPD1L,39.313,-6.525503,0.0,0.0
APBB1,39.244865,-6.3009872,0.0,0.0
JAM3,39.244865,-8.377441,0.0,0.0
AP3M2,39.108597,-4.404344,0.0,0.0
BACE2,38.836063,-7.7156954,0.0,0.0
TMEM237,38.76793,-6.910653,0.0,0.0
TMEM216,38.290997,-5.7862988,0.0,0.0
DMD,38.290997,-7.8314447,0.0,0.0
NCAM1,38.154728,-8.539326,0.0,0.0
ORC6,38.086597,-7.7396812,0.0,0.0
RPL39L,38.018463,-7.8185196,0.0,0.0
CDK7,37.74593,-6.0482163,0.0,0.0
CACNA1A,37.60966,-6.9947524,1.49437609780494e-309,4.64615114044809e-309
MFSD8,37.60966,-5.807168,1.49437609780494e-309,4.64615114044809e-309
MUTYH,37.541527,-5.8741455,1.936900698410489e-308,5.96774809780529e-308
DLAT,37.473396,-6.2354827,2.49884982137295e-307,7.630416418835258e-307
IDE,37.337128,-6.607157,4.1016807016497356e-305,1.2305042104949207e-304
AP4S1,37.268993,-7.3551755,5.2185608580379534e-304,1.538575701249121e-303
ADARB1,37.268993,-6.5107927,5.2185608580379534e-304,1.538575701249121e-303
CAMK2G,36.860195,-7.307164,2.0080628211288714e-297,5.869722092530547e-297
MTA2,36.315125,-7.446412,9.338186189973164e-289,2.6393881627858033e-288
KIF3A,36.315125,-7.7775545,9.338186189973164e-289,2.6393881627858033e-288
PDE4D,36.246994,-5.8136697,1.1082370615765093e-287,3.081439634627367e-287
CASP6,36.246994,-7.36613,1.1082370615765093e-287,3.081439634627367e-287
PRKAR1B,36.17886,-8.07833,1.3091465658353228e-286,3.610710689642584e-286
CASP8,35.633793,-6.1024175,4.200590491442285e-278,1.1492815584586093e-277
CAV1,35.497524,-11.155255,5.367176475030799e-276,1.4568050432226455e-275
SLC12A2,35.36126,-8.306462,6.731680672250604e-274,1.7986209296169584e-273
CEP41,35.156857,-7.7953672,9.132327949638627e-271,2.4211288052530314e-270
FYN,35.088726,-6.407978,1.0016252564195179e-269,2.5951199825414784e-269
ABCA7,35.088726,-7.6613264,1.0016252564195179e-269,2.5951199825414784e-269
DHCR7,35.088726,-7.600219,1.0016252564195179e-269,2.5951199825414784e-269
FIG4,35.02059,-6.424919,1.093489449672561e-268,2.7908462073732526e-268
TUBA4A,35.02059,-7.87399,1.093489449672561e-268,2.7908462073732526e-268
TRIM37,34.81619,-7.63066,1.383744874192825e-265,3.479711374808428e-265
ABAT,34.81619,-7.550134,1.383744874192825e-265,3.479711374808428e-265
FAS,34.679924,-5.764145,1.5817757218225021e-263,3.948666400462013e-263
MNAT1,34.61179,-7.895743,1.6794525705453714e-262,4.162121587873312e-262
CLCN6,34.339256,-6.6920595,2.0375826526090912e-258,5.013332857498627e-258
